Half-degree cell series of precipitation
Centre Latitude:              4.25
Centre Longitude:           -74.75
CRU TS Version:               4.04
Units:                     mm/month 

  Yr  Mo     Value   N.Obs
1967   4    257.80     8
1967   5    269.10     8
1967   6    141.90     8
1967   7     59.90     8
1967   8     34.00     8
1967   9     78.40     8
1967  10    228.00     8
1967  11    253.00     8
1967  12     85.70     8
1968   1    103.50     8
1968   2    130.70     8
1968   3    109.40     8
1968   4    331.30     8
1968   5    146.10     8
1968   6    206.30     8
1968   7     62.50     8
1968   8     61.00     8
1968   9    166.80     8
1968  10    312.70     8
1968  11    303.90     8
1968  12     75.00     8
1969   1     93.70     8
1969   2     93.20     8
1969   3     66.00     8
1969   4    334.00     8
1969   5    225.90     8
1969   6    128.20     8
1969   7     33.60     8
1969   8     64.40     8
1969   9    149.50     8
1969  10    384.50     8
1969  11    164.20     8
1969  12     93.60     8
1970   1    112.30     8
1970   2    140.90     8
1970   3     87.30     8
1970   4    229.50     8
1970   5    283.40     8
1970   6    129.60     8
1970   7     66.70     8
1970   8     70.60     8
1970   9    154.70     8
1970  10    338.60     8
1970  11    258.80     8
1970  12    105.10     8
1971   1    196.30     8
1971   2    213.30     8
1971   3    266.80     8
1971   4    248.40     8
1971   5    330.70     8
1971   6    137.10     8
1971   7     74.40     8
1971   8    110.30     8
1971   9    166.00     8
1971  10    216.50     8
1971  11    213.60     8
1971  12    133.30     8
1972   1    183.90     8
1972   2    118.00     8
1972   3    194.50     8
1972   4    285.10     8
1972   5    250.60     8
1972   6    152.70     8
1972   7     43.10     8
1972   8     86.80     8
1972   9    114.50     8
1972  10    182.70     8
1972  11    262.90     8
1972  12    106.40     8
1973   1     25.50     8
1973   2     20.20     8
1973   3    102.40     8
1973   4    148.20     8
1973   5    176.10     8
1973   6    113.10     8
1973   7     92.20     8
1973   8    156.60     8
1973   9    222.00     8
1973  10    258.10     8
1973  11    267.80     8
1973  12    273.90     8
1974   1    189.70     8
1974   2    239.00     8
1974   3    256.70     8
1974   4    235.80     8
1974   5    209.70     8
1974   6    101.60     8
1974   7     40.60     8
1974   8     77.10     8
1974   9    182.80     8
1974  10    262.50     8
1974  11    236.10     8
1974  12     59.70     8
1975   1     31.60     8
1975   2    198.50     8
1975   3    214.50     8
1975   4    182.50     8
1975   5    296.80     8
1975   6    115.00     8
1975   7    159.30     8
1975   8     93.20     8
1975   9    121.40     8
1975  10    279.80     8
1975  11    235.90     8
1975  12    217.40     8
1976   1     41.60     8
1976   2    132.60     8
1976   3    215.60     8
1976   4    212.70     8
1976   5    195.90     8
1976   6     97.60     8
1976   7     22.80     8
1976   8     45.50     8
1976   9    117.90     8
1976  10    321.40     8
1976  11    173.90     8
1976  12    118.80     8
1977   1     22.50     8
1977   2     46.90     8
1977   3    177.60     8
1977   4    195.80     8
1977   5    147.20     8
1977   6    109.00     8
1977   7     75.40     8
1977   8     76.80     8
1977   9    191.80     8
1977  10    231.20     8
1977  11    202.80     8
1977  12     78.60     8
1978   1     53.00     8
1978   2     69.30     8
1978   3    203.40     8
1978   4    306.10     8
1978   5    210.90     8
1978   6    123.60     8
1978   7     68.30     8
1978   8     40.30     8
1978   9    163.20     8
1978  10    215.90     8
1978  11    181.00     8
1978  12    154.60     8
1979   1     59.30     8
1979   2     89.30     8
1979   3    167.90     8
1979   4    285.40     8
1979   5    236.80     8
1979   6    161.90     8
1979   7     74.10     8
1979   8    118.60     8
1979   9    125.10     8
1979  10    242.80     8
1979  11    328.30     8
1979  12     66.20     8
1980   1    110.20     8
1980   2    177.80     8
1980   3     78.20     8
1980   4    203.70     8
1980   5    166.50     8
1980   6    168.00     8
1980   7     43.90     8
1980   8     86.10     8
1980   9    153.20     8
1980  10    191.20     8
1980  11    149.70     8
1980  12    177.50     8
1981   1     23.10     8
1981   2    117.00     8
1981   3    115.90     8
1981   4    326.80     8
1981   5    383.00     8
1981   6    155.70     8
1981   7     56.90     8
1981   8    117.20     8
1981   9    107.50     8
1981  10    268.70     8
1981  11    241.20     8
1981  12    142.60     8
1982   1    176.10     8
1982   2    139.70     8
1982   3    165.10     8
1982   4    385.00     8
1982   5    250.10     8
1982   6     58.20     8
1982   7     34.10     8
1982   8     30.30     8
1982   9    111.90     8
1982  10    264.90     8
1982  11    213.50     8
1982  12    140.30     8
1983   1     67.90     8
1983   2     97.80     8
1983   3    246.50     8
1983   4    385.70     8
1983   5    235.70     8
1983   6     69.50     8
1983   7     51.70     8
1983   8     43.40     8
1983   9    104.70     8
1983  10    214.90     8
1983  11    147.40     8
1983  12    210.30     8
1984   1    186.70     8
1984   2    185.60     8
1984   3    125.50     8
1984   4    238.50     8
1984   5    242.30     8
1984   6    210.90     8
1984   7     67.60     8
1984   8    140.20     8
1984   9    231.50     8
1984  10    286.80     8
1984  11    244.80     8
1984  12     89.70     8
1985   1     73.60     8
1985   2     23.60     8
1985   3    134.90     8
1985   4    169.30     8
1985   5    239.60     8
1985   6     75.70     8
1985   7     60.70     8
1985   8    113.30     8
1985   9    173.30     8
1985  10    232.50     8
1985  11    208.10     8
1985  12     95.50     8
1986   1     97.30     8
1986   2    204.50     8
1986   3    182.00     8
1986   4    231.10     8
1986   5    219.70     8
1986   6    132.00     8
1986   7     36.10     8
1986   8     50.80     8
1986   9    130.50     8
1986  10    421.10     8
1986  11    219.30     8
1986  12     51.90     8
1987   1     73.40     8
1987   2     64.50     8
1987   3    156.10     8
1987   4    208.70     8
1987   5    252.80     8
1987   6     58.30     8
1987   7    107.60     8
1987   8     54.10     8
1987   9    161.90     8
1987  10    313.30     8
1987  11    182.40     8
1987  12     90.00     8
1988   1     63.50     8
1988   2    114.40     8
1988   3     83.30     8
1988   4    263.10     8
1988   5    171.70     8
1988   6    121.70     8
1988   7    108.00     8
1988   8    144.10     8
1988   9    199.90     8
1988  10    274.70     8
1988  11    346.30     8
1988  12    207.60     8
1989   1    114.00     8
1989   2    153.60     8
1989   3    276.40     8
1989   4    161.40     8
1989   5    207.00     8
1989   6    115.70     8
1989   7     64.60     8
1989   8     90.30     8
1989   9    163.70     8
1989  10    214.40     8
1989  11    164.20     8
1989  12    132.00     8
1990   1    110.50     8
1990   2    172.50     8
1990   3    177.20     8
1990   4    269.00     8
1990   5    194.30     8
1990   6     72.40     8
1990   7     73.20     8
1990   8     39.80     8
1990   9     98.70     8
1990  10    321.90     8
1990  11    212.20     8
1990  12    212.10     8
1991   1     63.10     8
1991   2     70.30     8
1991   3    283.50     8
1991   4    229.40     8
1991   5    219.60     8
1991   6    101.40     8
1991   7     82.40     8
1991   8     72.80     8
1991   9    140.40     8
1991  10    119.10     8
1991  11    197.60     8
1991  12    136.60     8
1992   1     62.80     8
1992   2     73.00     8
1992   3     80.30     8
1992   4    151.10     8
1992   5    143.40     8
1992   6     57.40     8
1992   7     60.10     8
1992   8     59.00     8
1992   9    149.10     8
1992  10    125.20     8
1992  11    257.00     8
1992  12    151.90     8
1993   1    109.00     8
1993   2    138.50     8
1993   3    214.70     8
1993   4    227.70     8
1993   5    132.00     8
1993   6     36.80     8
1993   7     43.60     8
1993   8     50.10     8
1993   9    216.30     8
1993  10    201.60     8
1993  11    347.80     8
1993  12    132.30     8
1994   1    141.70     8
1994   2    154.30     8
1994   3    251.70     8
1994   4    257.60     8
1994   5    188.30     8
1994   6     76.80     8
1994   7     62.60     8
1994   8     50.10     8
1994   9    139.90     8
1994  10    243.20     8
1994  11    291.40     8
1994  12     78.20     8
1995   1     51.90     8
1995   2     68.90     8
1995   3    200.70     8
1995   4    266.20     8
1995   5    220.80     8
1995   6    155.40     8
1995   7    101.90     8
1995   8     84.10     8
1995   9    144.10     8
1995  10    228.00     8
1995  11    199.00     8
1995  12    172.60     8
1996   1    102.80     8
1996   2    219.60     8
1996   3    232.40     8
1996   4    206.10     8
1996   5    277.80     8
1996   6    150.00     8
1996   7     88.30     8
1996   8     80.80     8
1996   9    113.80     8
1996  10    279.80     8
1996  11    182.80     8
1996  12    128.00     8
1997   1    225.60     8
1997   2     82.20     8
1997   3    158.20     8
1997   4    239.50     8
1997   5    150.80     8
1997   6    191.70     8
1997   7     30.40     8
1997   8     27.10     8
1997   9    128.10     8
1997  10    135.20     8
1997  11    199.50     8
1997  12     36.00     8
1998   1     31.20     8
1998   2    115.80     8
1998   3    205.80     8
1998   4    235.40     8
1998   5    314.50     8
1998   6    106.50     8
1998   7    107.70     8
1998   8     96.10     8
1998   9    194.00     8
1998  10    260.10     8
1998  11    271.20     8
1998  12    214.10     8
1999   1    137.10     8
1999   2    289.70     8
1999   3    153.30     8
1999   4    244.30     8
1999   5    178.80     8
1999   6    163.40     8
1999   7     46.50     8
1999   8     80.10     8
1999   9    279.00     8
1999  10    350.20     8
1999  11    277.00     8
1999  12    181.70     8
2000   1    111.80     8
2000   2    268.80     8
2000   3    217.50     8
2000   4    168.60     8
2000   5    263.40     8
2000   6    128.00     8
2000   7    102.20     8
2000   8     72.10     8
2000   9    210.80     8
2000  10    202.40     8
2000  11    179.50     8
2000  12    110.50     8
2001   1     85.90     6
2001   2     70.80     6
2001   3    219.50     6
2001   4    111.40     6
2001   5    238.80     7
2001   6    126.80     6
2001   7     58.70     7
2001   8     44.70     7
2001   9    140.70     7
2001  10    172.10     6
2001  11    240.00     7
2001  12    214.30     6
2002   1     46.90     6
2002   2     50.60     6
2002   3    236.60     6
2002   4    297.90     6
2002   5    269.90     7
2002   6    149.80     6
2002   7     75.20     7
2002   8     60.90     7
2002   9    140.60     7
2002  10    220.10     6
2002  11    153.00     7
2002  12    166.40     6
2003   1     17.30     6
2003   2     72.60     6
2003   3    177.90     6
2003   4    269.00     6
2003   5    127.10     7
2003   6    148.00     6
2003   7     47.70     7
2003   8     78.60     7
2003   9    153.20     7
2003  10    240.90     6
2003  11    322.10     7
2003  12    124.00     6
2004   1     82.30     6
2004   2    183.50     6
2004   3     94.00     6
2004   4    286.20     6
2004   5    201.00     7
2004   6     90.40     6
